,nprocs,mode,calctime,warmup,cycles,buflen,overhead
0,2.0,3.0,10000.0,8.0,64.0,262144.0,3.636796875025605e-05
1,2.0,1.0,10000.0,8.0,64.0,262144.0,5.67660000000067e-05
2,2.0,1.0,10000.0,8.0,64.0,4.0,1.118187499992568e-06
3,2.0,4.0,10000.0,8.0,64.0,4906.0,4.308750000093023e-06
4,2.0,4.0,10000.0,8.0,64.0,16384.0,2.686640624997502e-06
5,2.0,4.0,10000.0,8.0,64.0,16384.0,4.125796875024956e-06
6,2.0,3.0,10000.0,8.0,64.0,512.0,8.094406250151731e-06
7,2.0,4.0,10000.0,8.0,64.0,1024.0,4.031062500018875e-06
8,2.0,3.0,10000.0,8.0,64.0,262144.0,3.542450000033198e-05
9,2.0,1.0,10000.0,8.0,64.0,4194304.0,0.0004184545468749953
10,2.0,1.0,10000.0,8.0,64.0,1024.0,1.526593750000946e-06
11,2.0,4.0,10000.0,8.0,64.0,8.0,7.883474999999251e-05
12,2.0,3.0,10000.0,8.0,64.0,32.0,9.853007812500071e-05
13,2.0,3.0,10000.0,8.0,64.0,65536.0,2.893643749984909e-05
14,2.0,1.0,10000.0,8.0,64.0,16777216.0,0.001623523124999997
15,2.0,1.0,10000.0,8.0,64.0,1048576.0,0.0003629146093749971
16,2.0,3.0,10000.0,8.0,64.0,4906.0,9.804703125025627e-06
17,2.0,3.0,10000.0,8.0,64.0,4194304.0,0.0003829136562499965
18,2.0,1.0,10000.0,8.0,64.0,8.0,1.141718750010323e-06
19,2.0,4.0,10000.0,8.0,64.0,4906.0,4.206468750043643e-06
20,2.0,1.0,10000.0,8.0,64.0,32.0,1.162093749987022e-06
21,2.0,4.0,10000.0,8.0,64.0,4.0,5.021593749996237e-06
22,2.0,3.0,10000.0,8.0,64.0,4.0,2.715128125001763e-05
23,2.0,3.0,10000.0,8.0,64.0,512.0,1.834917187500378e-05
24,2.0,1.0,10000.0,8.0,64.0,1048576.0,0.0009271463124999862
25,2.0,4.0,10000.0,8.0,64.0,4194304.0,4.136390624990757e-06
26,2.0,3.0,10000.0,8.0,64.0,16384.0,1.319196875001344e-05
27,2.0,3.0,10000.0,8.0,64.0,1024.0,8.634031250273622e-06
28,2.0,2.0,10000.0,8.0,64.0,8.0,1.109968750001014e-06
29,2.0,3.0,10000.0,8.0,64.0,65536.0,1.836589062493427e-05
30,2.0,3.0,10000.0,8.0,64.0,512.0,1.485293750000264e-05
31,2.0,4.0,10000.0,8.0,64.0,4906.0,3.661178124998894e-05
32,2.0,1.0,10000.0,8.0,64.0,65536.0,2.993606249998017e-05
33,2.0,3.0,10000.0,8.0,64.0,16777216.0,0.001449949187500036
34,2.0,1.0,10000.0,8.0,64.0,4906.0,2.102953125001153e-06
35,2.0,2.0,10000.0,8.0,64.0,8.0,1.084375000013835e-06
36,2.0,1.0,10000.0,8.0,64.0,16384.0,3.764281249989728e-06
37,2.0,4.0,10000.0,0.0,2.0,1048576.0,0.00573675849999998
38,2.0,1.0,10000.0,8.0,64.0,1024.0,1.454515624998336e-06
39,2.0,4.0,10000.0,8.0,64.0,4906.0,3.576232812499934e-05
40,2.0,2.0,10000.0,8.0,64.0,32.0,1.073109374990274e-06
41,2.0,3.0,10000.0,0.0,2.0,1048576.0,0.0006596575000000215
42,2.0,4.0,10000.0,8.0,64.0,16384.0,3.728609375008504e-06
43,2.0,4.0,10000.0,8.0,64.0,1024.0,4.037968749951923e-06
44,2.0,3.0,10000.0,8.0,64.0,512.0,1.549556250003345e-05
45,2.0,3.0,10000.0,8.0,64.0,8.0,2.859624999999952e-05
46,2.0,4.0,10000.0,8.0,64.0,1024.0,3.704171874948509e-06
47,2.0,4.0,10000.0,8.0,64.0,4.0,2.380812500010808e-06
48,2.0,3.0,10000.0,8.0,64.0,4194304.0,0.0004371387187500214
49,2.0,4.0,10000.0,8.0,64.0,262144.0,4.157593749927121e-06
50,2.0,2.0,10000.0,8.0,64.0,32.0,1.107171874986657e-06
51,2.0,1.0,10000.0,8.0,64.0,4906.0,2.082453125010209e-06
52,2.0,1.0,10000.0,8.0,64.0,16384.0,3.724578125002386e-06
53,2.0,4.0,10000.0,0.0,2.0,1048576.0,0.005310265000000022
